code,code_name,ipoDate,industry,website,total_share,market_cap,price,pe,pb,roe,eps,bps,cash,short_term_borrowing,gross_profit_margin,net_profit,operating_expense,research_and_development,operating_cash_flow,investment_cash_flow,financing_cash_flow
sh.600000,浦发银行,1999-11-10,J66货币金融服务,https://www.spdb.com.cn,33305838300,341717909504,10.26,7.328572,0.38652802,6.31%,1.4,26.544,968083000000,,,45835000000,53825000000,,-333654000000,-83552000000,327479000000
sh.600004,白云机场,2003-04-28,G56航空运输业,https://www.baiyunport.com,2577244598,23736424448,9.21,16.157894,1.1439574,7.39%,0.57,8.051,4730921314.69,,27%,965752959.58,686060207.23,53223001.54,3410126652.46,-352674636.33,-860537908.27
sh.600006,东风股份,1999-07-27,C36汽车制造业,https://www.dfac.com,2000000000,13760000000,6.88,57.333336,1.6443595,2.93%,0.12,4.184,4200560773.33,,2%,33445950.27,649477154.4,430324863.5,-2554776566.49,1556275432.15,199370000
sh.600007,中国国贸,1999-03-12,K70房地产业,https://www.cwtc.com,1007282534,20316889088,20.17,17.239317,2.1418712,12.54%,1.17,9.417,3986106599,,58%,1263521768,594217560,,1796295378,-63639368,-1858931831
sh.600008,首创环保,2000-04-27,D46水的生产和供应业,https://www.capitalwater.cn,7340590677,23710107648,3.23,14.043478,1.1353251,5.84%,0.23,2.845,6417326536.13,3262981482.52,35%,4144467318.33,1907776481.86,176103194.08,4082799965.42,482602205.37,-4055171673
sh.600009,上海机场,1998-02-18,G56航空运输业,https://www.shairport.com,2488313040,72932458496,29.31,30.53125,1.7345247,6.18%,0.96,16.898,14852869848.2,700397250,22%,2225023652.83,978976268.04,10705893.13,5530816400.62,-2919055396.76,-2396752550.78
sh.600010,包钢股份,2001-03-09,C31黑色金属冶炼和压延加工业,https://www.baoganggf.com,45288619348,125449478144,2.77,138.5,2.4086957,1.56%,0.02,1.15,14088316070.69,8957005258.12,8%,20748912.46,3119491248.15,620774607.48,2377288640.25,-2069512010.12,4197433709.52
sh.600011,华能国际,2001-12-06,D44电力、热力生产和供应业,https://www.hpi.com.cn,10997709919,120875311104,7.7,10.405405,1.8079362,9.67%,0.74,4.259,19932035366,61165907856,15%,14109545944,10546482050,1658380654,50530261245,-63596578883,15483206985
sh.600012,皖通高速,2003-01-07,G54道路运输业,https://www.anhui-expressway.net,1165600000,26038939648,15.24,14.653847,2.0936942,12.53%,1.04,7.279,4777897237.19,,35%,1690892949.2,206158857.29,,2628757994.25,-1960096858.08,484453700.85
sh.600015,华夏银行,2003-09-12,J66货币金融服务,https://www.hxb.com.cn,15914928468,114587475968,7.2,4.444444,0.37134457,7.37%,1.62,19.389,253216000000,,,28196000000,32413000000,,42495000000,-11164000000,-34707000000
